Date,Open,High,Low,Close,Volume
27-May-08,182.75,186.43,181.84,186.43,28210871
23-May-08,180.77,181.99,177.80,181.17,32428828
22-May-08,179.26,181.33,172.00,177.05,43105919
21-May-08,185.67,188.00,176.25,178.19,41344865
20-May-08,181.82,186.16,180.12,185.90,34637473
19-May-08,187.86,188.69,181.30,183.60,33796411
16-May-08,190.11,190.30,187.00,187.62,27348837
15-May-08,186.81,189.90,184.20,189.73,31185978
14-May-08,191.23,192.24,185.57,186.26,32743680
13-May-08,188.61,191.45,187.86,189.96,29401281
12-May-08,185.21,188.87,182.85,188.16,29263070
9-May-08,183.16,184.25,181.37,183.45,24031955
8-May-08,183.77,186.50,183.07,185.06,32110148
7-May-08,186.05,188.20,180.54,182.59,41326175
6-May-08,184.66,187.12,182.18,186.66,32816765
5-May-08,181.92,185.31,181.05,184.73,30519889
2-May-08,180.19,181.92,178.55,180.94,35922773
1-May-08,174.96,180.00,174.86,180.00,32270581
30-Apr-08,176.19,180.00,172.92,173.95,40697228
29-Apr-08,171.11,175.66,170.25,175.05,32981265
28-Apr-08,169.75,173.75,169.13,172.24,28114734
25-Apr-08,170.70,171.10,166.42,169.73,35445425
24-Apr-08,165.34,169.98,159.19,168.94,60616273
23-Apr-08,164.05,164.84,161.08,162.89,53721101
22-Apr-08,167.40,168.00,158.09,160.20,51413219
21-Apr-08,162.21,168.50,161.76,168.16,37112590
18-Apr-08,159.12,162.26,158.38,161.04,36662793
17-Apr-08,154.17,156.00,153.35,154.49,25189279
16-Apr-08,151.72,154.10,150.62,153.70,28420420
15-Apr-08,149.40,149.72,145.72,148.38,24929883
14-Apr-08,146.77,149.25,144.54,147.78,30189396
11-Apr-08,152.72,153.30,146.40,147.14,43184829
10-Apr-08,151.13,155.42,150.60,154.55,34160321
9-Apr-08,153.31,153.89,150.46,151.44,31211125
8-Apr-08,153.55,156.45,152.32,152.84,36258626
7-Apr-08,156.13,159.69,155.11,155.89,41395988
4-Apr-08,152.19,154.72,150.75,153.08,30524395
3-Apr-08,147.06,153.63,147.00,151.61,37563004
2-Apr-08,148.78,151.20,145.85,147.49,37320214
1-Apr-08,146.30,149.66,143.61,149.53,36877317
31-Mar-08,143.27,145.71,142.52,143.50,27430839
28-Mar-08,141.80,144.65,141.60,143.01,25547083
27-Mar-08,144.95,145.31,139.99,140.25,35708131
26-Mar-08,140.87,145.74,140.64,145.06,42217233
25-Mar-08,139.96,143.10,137.33,140.98,37596140
24-Mar-08,134.01,140.85,133.64,139.53,38119507
20-Mar-08,131.12,133.29,129.18,133.27,32456650
19-Mar-08,133.12,134.29,129.67,129.67,36090600
18-Mar-08,129.18,133.00,128.67,132.82,43039945
17-Mar-08,122.55,128.59,122.55,126.73,38307074
